Date,Open,High,Low,Close,Volume
17-03-2021 09:15,714.95,716.6,710.2,715.7,17274
17-03-2021 09:20,715.45,716.8,713.5,714.8,13174
17-03-2021 09:25,715,715,712,712.9,16331
17-03-2021 09:30,713,715.2,711.45,714,14369
17-03-2021 09:35,714.1,714.5,712,713.5,9855
17-03-2021 09:40,713.5,714.3,712.15,712.5,10300
17-03-2021 09:45,712.5,712.8,711.1,711.9,9460
17-03-2021 09:50,711.5,712.15,709,709.2,10560
17-03-2021 09:55,709.3,710.35,706.1,708.2,15806
17-03-2021 10:00,708.5,709.9,707.6,708.95,16743
17-03-2021 10:05,708.95,710.1,707.1,709.4,12570
17-03-2021 10:10,709.1,709.25,706.3,706.8,9676
17-03-2021 10:15,706.8,708.75,705.1,708.2,9050
17-03-2021 10:20,708.2,708.25,705.35,705.6,10412
17-03-2021 10:25,705.45,708.75,705.2,707.8,8691
17-03-2021 10:30,708.25,710,708,708.2,11984
17-03-2021 10:35,708.55,709.5,708,709.35,8576
17-03-2021 10:40,709.5,709.5,707.5,707.7,7491
17-03-2021 10:45,707.7,708.95,706.6,708.6,8973
17-03-2021 10:50,708.5,708.6,707.65,708.3,6096
17-03-2021 10:55,708.3,708.6,707.8,708.1,5546
17-03-2021 11:00,707.95,708,707,707.55,3487
17-03-2021 11:05,707.55,707.55,706.35,707.2,5645
17-03-2021 11:10,707.2,707.5,706.75,707.5,4419
17-03-2021 11:15,707.5,708.35,707.1,707.85,5176
17-03-2021 11:20,707.85,709.6,707.85,708,9062
17-03-2021 11:25,708.25,710.6,708.25,709.95,17888
17-03-2021 11:30,709.95,711.8,709.55,709.75,10612
17-03-2021 11:35,709.65,709.85,708.2,708.5,6337
17-03-2021 11:40,708.5,709.15,708,708.5,5699
17-03-2021 11:45,708.8,709.2,707.8,707.8,6657
17-03-2021 11:50,707.8,708.3,706.65,707.1,9026
17-03-2021 11:55,707.1,708,707,707.05,10949
17-03-2021 12:00,707,707.05,702.2,703.15,15356
17-03-2021 12:05,703.55,704.5,703.05,704.3,14687
17-03-2021 12:10,704.3,704.3,703,703.65,8649
17-03-2021 12:15,704,704.7,703.6,703.8,6057
17-03-2021 12:20,703.9,705.2,701,701.9,14284
17-03-2021 12:25,701.75,702.4,700.5,702,9839
17-03-2021 12:30,702.1,703.45,701.7,702.85,11362
17-03-2021 12:35,702.6,702.8,700.75,701.45,7888
17-03-2021 12:40,701.45,701.6,700.5,701.4,8445
17-03-2021 12:45,701.25,702.15,698.6,698.6,9966
17-03-2021 12:50,698.55,700,698,699.3,11131
17-03-2021 12:55,699.5,701,698.85,700.4,11300
17-03-2021 13:00,700.35,701,700.2,700.6,7576
17-03-2021 13:05,700.7,702.5,700.7,701.2,9739
17-03-2021 13:10,701.2,701.35,699.3,700.1,10675
17-03-2021 13:15,700.1,702.3,700.1,700.95,9398
17-03-2021 13:20,701.5,701.65,700.5,701,9001
17-03-2021 13:25,701,701.15,700.1,700.8,9179
17-03-2021 13:30,700.6,701.8,700,701.2,8634
17-03-2021 13:35,701.15,701.5,700.4,700.8,7532
17-03-2021 13:40,700.8,701.55,700.6,701.35,5712
17-03-2021 13:45,701.25,702.4,699.9,699.9,6801
17-03-2021 13:50,700.05,701,699.15,700.5,10025
17-03-2021 13:55,700.55,701.15,700.15,700.5,9339
17-03-2021 14:00,700.6,701.15,699.35,699.35,6554
17-03-2021 14:05,699.4,699.9,698.05,699,7830
17-03-2021 14:10,699.35,700.6,696.5,696.65,10056
17-03-2021 14:15,696.65,698,693.9,694.6,13986
17-03-2021 14:20,695,695,693.45,694.65,17894
17-03-2021 14:25,694.85,696.5,694.05,694.2,13514
17-03-2021 14:30,694.5,694.5,690.75,692.35,14240
17-03-2021 14:35,692.65,695.95,692.3,693.95,12733
17-03-2021 14:40,693.75,695.3,692.8,694.6,8680
17-03-2021 14:45,694.6,694.75,693.6,694.2,6630
17-03-2021 14:50,693.85,695.85,692.5,695.8,11803
17-03-2021 14:55,695.55,695.8,693.65,695.35,12708
17-03-2021 15:00,695.2,695.95,692,692.05,16518
17-03-2021 15:05,692.05,692.25,686.25,687.1,17317
17-03-2021 15:10,687.45,689.75,685.15,687.95,18439
17-03-2021 15:15,687.55,691.35,687.1,687.1,21289
17-03-2021 15:20,687.8,688.9,684.2,684.75,12007
17-03-2021 15:25,684.7,686.15,684.05,686,9385
18-03-2021 09:15,696.95,702.5,696,698.35,18658
18-03-2021 09:20,698.6,700,695.35,696,18465
18-03-2021 09:25,696.25,696.75,691.55,696.5,15577
18-03-2021 09:30,696.5,697.65,693.4,697.65,16581
18-03-2021 09:35,697.6,697.95,695.9,697.2,11617
18-03-2021 09:40,697.5,699.5,696.3,699.1,14214
18-03-2021 09:45,699.45,702,697.85,701.7,14825
18-03-2021 09:50,701.75,702,699.85,700.5,16829
18-03-2021 09:55,700.6,701.45,699.5,701.3,18436
18-03-2021 10:00,701.1,703.65,700.55,702.55,29368
18-03-2021 10:05,702.75,705.25,702.5,703.65,12905
18-03-2021 10:10,703.5,703.85,700,700.9,13672
18-03-2021 10:15,700.9,701.45,699.6,700,19304
18-03-2021 10:20,699.65,701.5,699.4,700.7,12117
18-03-2021 10:25,700.95,701.7,700.05,701.55,8668
18-03-2021 10:30,701.7,701.7,699.4,699.5,11129
18-03-2021 10:35,699.5,700.8,699.4,699.85,13973
18-03-2021 10:40,700,700,697.95,698.25,17203
18-03-2021 10:45,698.2,700.65,698.15,700.4,11109
18-03-2021 10:50,700.05,701,698.4,698.4,13087
18-03-2021 10:55,698.4,699.2,695.4,696.55,17531
18-03-2021 11:00,696.6,698.4,696.6,698.05,9565
18-03-2021 11:05,698.15,699.35,697.45,698.2,6421
18-03-2021 11:10,698.25,698.95,696.5,697,8274
18-03-2021 11:15,697,698,696.5,696.5,9316
18-03-2021 11:20,696.55,696.6,693.35,694.7,13088
18-03-2021 11:25,694.65,694.8,693.05,693.8,16872
18-03-2021 11:30,693.65,696,693.6,695.7,11741
18-03-2021 11:35,695.45,696.15,694.4,695.75,14444
18-03-2021 11:40,696.25,698.6,696,697.75,11093
18-03-2021 11:45,697.85,700,697.6,699.4,11037
18-03-2021 11:50,699.4,700.45,699.35,699.85,12406
18-03-2021 11:55,699.7,701.5,699.6,701.2,11610
18-03-2021 12:00,701.15,701.5,699.2,699.45,14423
18-03-2021 12:05,699.4,700.8,698.25,699.8,6691
18-03-2021 12:10,699.4,701.5,699.05,701.2,14811
18-03-2021 12:15,701.4,701.5,699.2,699.9,6594
