IB Symbol,Product Description,Symbol,Currency
ONGC,OIL & NATURAL GAS CORP LTD,ONGC,INR
PAGEIND,PAGE INDUSTRIES LTD,PAGEIND,INR
PEL,PIRAMAL ENTERPRISES LTD,PEL,INR
PETRONET,PETRONET LNG LTD,PETRONET,INR
PFC,POWER FINANCE CORPORATION,PFC,INR
PIDILITIN,PIDILITE INDUSTRIES LTD,PIDILITIND,INR
PNB,PUNJAB NATIONAL BANK,PNB,INR
POWERGRID,POWER GRID CORP. OF INDIA LTD.,POWERGRID,INR
PVR,PVR LTD,PVR,INR
RAMCOCEM,RAMCO CEMENTS LTD/THE,RAMCOCEM,INR
RBLBANK,RBL BANK LTD,RBLBANK,INR
RECLTD,REC LTD,RECLTD,INR
RELIANCE,RELIANCE INDUSTRIES LIMITED,RELIANCE,INR
SAIL,STEEL AUTHORITY OF INDIA,SAIL,INR
SBILIFE,SBI LIFE INSURANCE CO LTD,SBILIFE,INR
SBIN,STATE BANK OF INDIA,SBIN,INR
SHREECEM,SHREE CEMENT LIMITED,SHREECEM,INR
SIEMENS,SIEMENS LTD,SIEMENS,INR
SRF,SRF LIMITED,SRF,INR
SRTRANSFI,SHRIRAM TRANSPORT FINANCE,SRTRANSFIN,INR
SUNPHARMA,SUN PHARMACEUTICAL INDUS,SUNPHARMA,INR
SUNTV,SUN TV NETWORK LIMITED,SUNTV,INR
TATACHEM,TATA CHEMICALS LIMITED,TATACHEM,INR
TATACONSU,TATA CONSUMER PRODUCTS LTD,TATACONSUM,INR
TATAMOTOR,TATA MOTORS LTD,TATAMOTORS,INR
TATAPOWER,TATA POWER CO LTD,TATAPOWER,INR
TATASTEEL,TATA STEEL LTD,TATASTEEL,INR
TCS,TATA CONSULTANCY SVCS LTD,TCS,INR
TECHM,TECH MAHINDRA LTD,TECHM,INR
TITAN,TITAN CO LTD,TITAN,INR
TORNTPHAR,TORRENT PHARMACEUTICALS LTD,TORNTPHARM,INR
TORNTPOWE,TORRENT POWER LTD,TORNTPOWER,INR
TVSMOTOR,TVS MOTOR CO LTD,TVSMOTOR,INR
UBL,UNITED BREWERIES LTD,UBL,INR
ULTRACEMC,ULTRATECH CEMENT LTD,ULTRACEMCO,INR
UPL,UPL LTD,UPL,INR
VEDL,VEDANTA LTD,VEDL,INR
VOLTAS,VOLTAS LIMITED,VOLTAS,INR
WIPRO,WIPRO LTD,WIPRO,INR
ZEEL,ZEE ENTERTAINMENT ENTERPRISE,ZEEL,INR
