IB Symbol,Product Description,Symbol,Currency,Contract ID
MINDTREE,MINDTREE LIMITED,MINDTREE,INR,56987628
MM,MAHINDRA & MAHINDRA LIMITED,M&M,INR,73894413
MMFIN,MAHINDRA & MAHINDRA FIN SECS,M&MFIN,INR,122139383
MOTHERSUM,MOTHERSON SUMI SYSTEMS LTD,MOTHERSUMI,INR,56987580
MRF,MRF LIMITED,MRF,INR,56987338
MUTHOOTFI,MUTHOOT FINANCE LTD,MUTHOOTFIN,INR,87790418
NATIONALU,NATIONAL ALUMINIUM CO LTD,NATIONALUM,INR,85433002
NAUKRI,INFO EDGE INDIA LTD,NAUKRI,INR,56985708
NESTLEIND,NESTLE INDIA LIMITED,NESTLEIND,INR,64687316
NMDC,NMDC LIMITED,NMDC,INR,56984653
NTPC,NTPC LIMITED,NTPC,INR,49982069
ONGC,OIL & NATURAL GAS CORP LTD,ONGC,INR,83845926
PAGEIND,PAGE INDUSTRIES LTD,PAGEIND,INR,56986688
PEL,PIRAMAL ENTERPRISES LTD,PEL,INR,56986920
PETRONET,PETRONET LNG LTD,PETRONET,INR,56986960
PFC,POWER FINANCE CORPORATION,PFC,INR,56986985
PIDILITIN,PIDILITE INDUSTRIES LTD,PIDILITIND,INR,56986764
PNB,PUNJAB NATIONAL BANK,PNB,INR,176235422
POWERGRID,POWER GRID CORP. OF INDIA LTD.,POWERGRID,INR,50486118
PVR,PVR LTD,PVR,INR,56987108
RAMCOCEM,RAMCO CEMENTS LTD/THE,RAMCOCEM,INR,56987148
RBLBANK,RBL BANK LTD,RBLBANK,INR,246723708
RECLTD,REC LTD,RECLTD,INR,56984788
RELIANCE,RELIANCE INDUSTRIES LIMITED,RELIANCE,INR,44652000
SAIL,STEEL AUTHORITY OF INDIA,SAIL,INR,44652045
SBILIFE,SBI LIFE INSURANCE CO LTD,SBILIFE,INR,291082784
SBIN,STATE BANK OF INDIA,SBIN,INR,173418084
SHREECEM,SHREE CEMENT LIMITED,SHREECEM,INR,56989171
SIEMENS,SIEMENS LTD,SIEMENS,INR,44652105
SRF,SRF LIMITED,SRF,INR,56989180
SRTRANSFI,SHRIRAM TRANSPORT FINANCE,SRTRANSFIN,INR,56988999
SUNPHARMA,SUN PHARMACEUTICAL INDUS,SUNPHARMA,INR,81351036
SUNTV,SUN TV NETWORK LIMITED,SUNTV,INR,56989289
TATACHEM,TATA CHEMICALS LIMITED,TATACHEM,INR,56986895
TATACONSU,TATA CONSUMER PRODUCTS LTD,TATACONSUM,INR,76814483
TATAMOTOR,TATA MOTORS LTD,TATAMOTORS,INR,94127580
TATAPOWER,TATA POWER CO LTD,TATAPOWER,INR,95168502
